Time_Between_Messages,Loss_Probability,Corruption_Probability,Window_Size,Protocol_Type,Number_Of_Events,Nanoseconds
10,0.0,0.0,1,0,419,35465000
10,0.1,0.0,1,0,757,35715000
10,0.2,0.0,1,0,936,34702000
10,0.3,0.0,1,0,1611,36731000
10,0.4,0.0,1,0,1503,35886000
10,0.5,0.0,1,0,4245,33856000
10,0.6,0.0,1,0,7776,38935000
10,0.7,0.0,1,0,13804,46256000
10,0.8,0.0,1,0,24435,56837000
10,0.9,0.0,1,0,102966,55341000
10,0.0,0.1,1,0,565,50221000
10,0.1,0.1,1,0,907,35286000
10,0.2,0.1,1,0,1631,36355000
10,0.3,0.1,1,0,2851,38241000
10,0.4,0.1,1,0,3938,38098000
10,0.5,0.1,1,0,4307,75848000
10,0.6,0.1,1,0,7955,38555000
10,0.7,0.1,1,0,20545,42518000
10,0.8,0.1,1,0,44757,45263000
10,0.9,0.1,1,0,138977,58883000
10,0.0,0.2,1,0,1406,37050000
10,0.1,0.2,1,0,1418,36106000
10,0.2,0.2,1,0,1565,34712000
10,0.3,0.2,1,0,3620,52829000
10,0.4,0.2,1,0,3176,36080000
10,0.5,0.2,1,0,5773,36283000
10,0.6,0.2,1,0,11604,37499000
10,0.7,0.2,1,0,19485,55964000
10,0.8,0.2,1,0,58015,46598000
10,0.9,0.2,1,0,220478,94116000
10,0.0,0.3,1,0,1761,49771000
10,0.1,0.3,1,0,1900,39247000
10,0.2,0.3,1,0,3091,37597000
10,0.3,0.3,1,0,3787,34963000
10,0.4,0.3,1,0,6221,37039000
10,0.5,0.3,1,0,7453,39134000
10,0.6,0.3,1,0,20682,42586000
10,0.7,0.3,1,0,25565,40201000
10,0.8,0.3,1,0,63940,43631000
10,0.9,0.3,1,0,282747,76879000
10,0.0,0.4,1,0,1788,46424000
10,0.1,0.4,1,0,3034,35325000
10,0.2,0.4,1,0,3549,33905000
10,0.3,0.4,1,0,6122,32822000
10,0.4,0.4,1,0,8050,38947000
10,0.5,0.4,1,0,11010,36207000
10,0.6,0.4,1,0,20475,38602000
10,0.7,0.4,1,0,42073,53500000
10,0.8,0.4,1,0,118274,51796000
10,0.9,0.4,1,0,260570,68027000
10,0.0,0.5,1,0,3949,33804000
10,0.1,0.5,1,0,5515,33727000
10,0.2,0.5,1,0,6762,37820000
10,0.3,0.5,1,0,9568,38582000
10,0.4,0.5,1,0,11507,33969000
10,0.5,0.5,1,0,13576,34647000
10,0.6,0.5,1,0,30867,48342000
10,0.7,0.5,1,0,39872,43786000
10,0.8,0.5,1,0,149580,56179000
10,0.9,0.5,1,0,432706,102953000
10,0.0,0.6,1,0,8435,38206000
10,0.1,0.6,1,0,8371,34598000
10,0.2,0.6,1,0,8694,36612000
10,0.3,0.6,1,0,11864,36636000
10,0.4,0.6,1,0,28814,39390000
10,0.5,0.6,1,0,30369,37229000
10,0.6,0.6,1,0,54079,45656000
10,0.7,0.6,1,0,125137,56544000
10,0.8,0.6,1,0,234500,68900000
10,0.9,0.6,1,0,812295,103102000
10,0.0,0.7,1,0,12142,40425000
10,0.1,0.7,1,0,16056,37213000
10,0.2,0.7,1,0,26991,42523000
10,0.3,0.7,1,0,27672,46986000
10,0.4,0.7,1,0,36748,46030000
10,0.5,0.7,1,0,61512,51337000
10,0.6,0.7,1,0,86643,50690000
10,0.7,0.7,1,0,106260,51554000
10,0.8,0.7,1,0,418907,103447000
10,0.9,0.7,1,0,1467398,117890000
10,0.0,0.8,1,0,31743,43296000
10,0.1,0.8,1,0,33590,42122000
10,0.2,0.8,1,0,41733,42293000
10,0.3,0.8,1,0,63152,49377000
10,0.4,0.8,1,0,96501,61262000
10,0.5,0.8,1,0,102513,55517000
10,0.6,0.8,1,0,261149,85891000
10,0.7,0.8,1,0,372142,91277000
10,0.8,0.8,1,0,852267,105735000
10,0.9,0.8,1,0,3590650,170234000
10,0.0,0.9,1,0,97378,86667000
10,0.1,0.9,1,0,124208,66036000
10,0.2,0.9,1,0,248737,90466000
10,0.3,0.9,1,0,246131,92142000
10,0.4,0.9,1,0,328352,111048000
10,0.5,0.9,1,0,410614,107736000
10,0.6,0.9,1,0,784114,142830000
10,0.7,0.9,1,0,1416392,143804000
10,0.8,0.9,1,0,2644452,163361000
10,0.9,0.9,1,0,11941912,270806000
10,0.0,0.0,2,0,374,29831000
10,0.1,0.0,2,0,668,31617000
10,0.2,0.0,2,0,683,29555000
10,0.3,0.0,2,0,999,29472000
10,0.4,0.0,2,0,1262,31976000
10,0.5,0.0,2,0,2088,30118000
10,0.6,0.0,2,0,2975,30832000
10,0.7,0.0,2,0,5803,31327000
10,0.8,0.0,2,0,13304,43395000
10,0.9,0.0,2,0,42645,41880000
10,0.0,0.1,2,0,489,39314000
10,0.1,0.1,2,0,738,37926000
10,0.2,0.1,2,0,731,35576000
10,0.3,0.1,2,0,1078,54527000
10,0.4,0.1,2,0,2213,37698000
10,0.5,0.1,2,0,2092,38061000
10,0.6,0.1,2,0,3398,35750000
10,0.7,0.1,2,0,7437,41586000
10,0.8,0.1,2,0,17810,40000000
10,0.9,0.1,2,0,72751,56226000
10,0.0,0.2,2,0,634,46501000
10,0.1,0.2,2,0,922,37835000
10,0.2,0.2,2,0,1220,38947000
10,0.3,0.2,2,0,1443,37190000
10,0.4,0.2,2,0,2605,39510000
10,0.5,0.2,2,0,4460,41215000
10,0.6,0.2,2,0,7930,41756000
10,0.7,0.2,2,0,10594,39520000
10,0.8,0.2,2,0,15088,43872000
10,0.9,0.2,2,0,56117,51337000
10,0.0,0.3,2,0,1164,40597000
10,0.1,0.3,2,0,1510,36464000
10,0.2,0.3,2,0,1542,38078000
10,0.3,0.3,2,0,2146,40364000
10,0.4,0.3,2,0,4384,39397000
10,0.5,0.3,2,0,5227,43148000
10,0.6,0.3,2,0,5819,43004000
10,0.7,0.3,2,0,14943,46619000
10,0.8,0.3,2,0,35996,52714000
10,0.9,0.3,2,0,71669,58669000
10,0.0,0.4,2,0,1795,40846000
10,0.1,0.4,2,0,1707,40153000
10,0.2,0.4,2,0,2154,35536000
