time	track	a	b
2016-6-18T19:31:49	9001:v2	1	/mnt/scratch/ops/workflows/gcs_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_production/gcs/src/gcs_postanalysis.py /mnt/production_storage/sequencing/ops/production/gcs/results/HMJWLBCXX
2016-6-27T13:5:52	gender	1	/mnt/scratch/ops/workflows/gender_validation/dependencies/anaconda/bin/python2.7 /mnt/scratch/ops/workflows/gender_validation/GENDER/src/gender_check_readiness.py /mnt/production_storage/sequencing/ops/validation/gender/results/HGG3YBCXX.v2
2016-6-28T11:43:38	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/support/gcs_8008/results/HNY3MBCXX
2016-6-28T11:43:43	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/production/gcs_8008/results/HNY3MBCXX.v2
2016-6-28T12:12:20	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/production/gcs_8008/results/HNY3MBCXX.v2
2016-6-28T12:12:23	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/support/gcs_8008/results/HNY3MBCXX
2016-6-28T12:36:42	8008	1	/mnt/scratch/ops/workflows/gcs_8008_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_validation/gcs_8008/src/gcs_preanalysis.py /mnt/production_storage/sequencing/ops/validation/gcs_8008/results/HNY3MBCXX
2016-6-28T12:36:46	9001:v2	1	/mnt/scratch/ops/workflows/NIPT9001_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/NIPT9001_validation/workflow_wrappers/src/nipt9001_check_readiness.py /mnt/production_storage/sequencing/ops/validation/nipt9001/results/C67MFANXX.v2
2016-6-28T12:36:50	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/support/gcs_8008/results/HNY3MBCXX
2016-6-28T12:36:52	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/production/gcs_8008/results/HNY3MBCXX.v2
2016-6-28T12:50:29	8008	1	/mnt/scratch/ops/workflows/gcs_8008_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_validation/gcs_8008/src/gcs_preanalysis.py /mnt/production_storage/sequencing/ops/validation/gcs_8008/results/HNY3MBCXX
2016-6-28T12:52:0	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/support/gcs_8008/results/HNY3MBCXX
2016-6-28T12:52:31	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/production/gcs_8008/results/HNY3MBCXX.v2
2016-6-28T13:10:10	8008	1	/mnt/scratch/ops/workflows/gcs_8008_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_validation/gcs_8008/src/gcs_preanalysis.py /mnt/production_storage/sequencing/ops/validation/gcs_8008/results/HNY3MBCXX
2016-6-28T13:15:43	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/support/gcs_8008/results/HNY3MBCXX
2016-6-28T13:16:13	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/production/gcs_8008/results/HNY3MBCXX.v2
2016-6-28T13:31:27	8008	1	/mnt/scratch/ops/workflows/gcs_8008_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_validation/gcs_8008/src/gcs_preanalysis.py /mnt/production_storage/sequencing/ops/validation/gcs_8008/results/HNY3MBCXX
2016-6-28T13:31:58	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/support/gcs_8008/results/HNY3MBCXX
2016-6-28T13:32:28	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/production/gcs_8008/results/HNY3MBCXX.v2
2016-6-28T13:53:18	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/support/gcs_8008/results/HNY3MBCXX
2016-6-28T13:53:49	8008	1	/mnt/scratch/ops/workflows/gcs_8008_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_validation/gcs_8008/src/gcs_preanalysis.py /mnt/production_storage/sequencing/ops/validation/gcs_8008/results/HNY3MBCXX
2016-6-28T13:54:19	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/production/gcs_8008/results/HNY3MBCXX.v2
2016-6-28T13:57:52	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/support/gcs_8008/results/HNY3MBCXX
2016-6-28T13:58:23	8008	1	/mnt/scratch/ops/workflows/gcs_8008_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_validation/gcs_8008/src/gcs_preanalysis.py /mnt/production_storage/sequencing/ops/validation/gcs_8008/results/HNY3MBCXX
2016-6-28T13:58:53	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/production/gcs_8008/results/HNY3MBCXX.v2
2016-6-28T14:10:1	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/support/gcs_8008/results/HNY3MBCXX
2016-6-28T14:10:31	8008	1	/mnt/scratch/ops/workflows/gcs_8008_validation/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_validation/gcs_8008/src/gcs_preanalysis.py /mnt/production_storage/sequencing/ops/validation/gcs_8008/results/HNY3MBCXX
2016-6-28T14:11:8	8008	1	/mnt/scratch/ops/workflows/gcs_8008_production/dependencies/anaconda/bin/python /mnt/scratch/ops/workflows/gcs_8008_production/gcs_8008/src/gcs_check_readiness.py /mnt/production_storage/sequencing/ops/production/gcs_8008/results/HNY3MBCXX.v2
